Region,cough,flu,fever
National Capital Region,23.71186440677966,20.627118644067796,23.23728813559322
Region I - Ilocos Region,17.508474576271187,8.016949152542374,10.05084745762712
Region II - Cagayan Valley,2.23728813559322,4.084745762711864,5.016949152542373
Region III - Central Luzon,15.796610169491526,11.491525423728813,15.101694915254237
Region IV-A - CALABARZON,28.440677966101696,20.576271186440678,26.084745762711865
Region IV-B - MIMAROPA,0.0,0.0,1.3220338983050848
Region V - Bicol Region,7.101694915254237,2.983050847457627,4.830508474576271
Region VI - Western Visayas,24.135593220338983,13.186440677966102,15.389830508474576
Region VII - Central Visayas,29.152542372881356,20.084745762711865,29.779661016949152
Region VIII - Eastern Visayas,2.0847457627118646,1.423728813559322,1.1694915254237288
Region IX - Zamboanga Peninsula,1.2881355932203389,3.3559322033898304,0.0
Region X - Northern Mindanao,10.983050847457626,7.6440677966101696,11.542372881355933
Region XI - Davao Region,16.322033898305083,12.186440677966102,18.559322033898304
Region XII - SOCCSKSARGEN,0,0,0
Region XIII - Caraga,1.3220338983050848,1.2203389830508475,0.0
CAR - Cordillera Administrative Region,8.11864406779661,3.6779661016949152,3.1016949152542375
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,23.71186440677966,20.627118644067796,23.23728813559322
